data_year,arrestee_id,incident_id,arrestee_seq_num,arrest_date,arrest_type_id,multiple_indicator,offense_code,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,clearance_ind,age_range_low_num,age_range_high_num
2021,44398716,144487037,1,2021-10-02,1,N,13B,37,34,M,20,40,R,,,34,
2021,44398724,144487162,1,2021-10-02,1,N,13B,45,42,F,20,20,U,,,42,
2021,44398751,144487362,1,2021-10-03,1,N,120,40,37,F,20,20,R,,,37,
2021,44398718,144487043,1,2021-10-03,1,N,13B,36,33,M,20,20,R,,,33,
2021,44398703,144486920,1,2021-10-03,1,N,13B,56,53,M,20,20,U,,,53,
2021,44989887,146707836,1,2021-10-03,1,N,520,25,22,F,20,40,N,,,22,
2021,44398740,144487284,1,2021-10-03,1,N,520,24,21,M,20,20,U,,,21,
2021,44398742,144487289,1,2021-10-03,1,N,290,26,23,M,10,20,U,,,23,
2021,44399148,144490779,1,2021-10-03,1,N,13B,31,28,F,10,20,N,,,28,
2021,44399151,144490779,2,2021-10-03,1,N,13B,33,30,M,98,20,R,,,30,
2021,44398713,144487003,1,2021-10-03,1,N,13C,65,62,F,20,20,U,,,62,
2021,44399131,144490584,1,2021-10-27,3,N,13B,31,28,M,20,20,N,,,28,
2021,44398734,144487224,1,2021-10-03,1,N,13B,28,25,M,20,20,R,,,25,
2021,44398723,144487158,1,2021-10-03,1,N,13B,38,35,M,20,40,R,,,35,
2021,44398760,144487434,1,2021-10-03,1,N,13B,30,27,F,20,20,R,,,27,
2021,44398767,144487500,1,2021-10-03,1,N,13B,27,24,M,20,40,U,,,24,
2021,44398739,144487279,1,2021-10-03,1,N,13C,44,41,M,10,10,U,,,41,
2021,44398747,144487308,1,2021-10-03,1,N,13C,30,27,M,20,10,R,,,27,
2021,44398715,144487012,1,2021-10-03,1,N,13C,65,62,M,20,20,R,,,62,
2021,44398738,144487255,1,2021-10-03,1,N,35A,28,25,M,20,20,R,,,25,
2021,44398779,144487595,1,2021-10-03,1,N,13B,31,28,F,20,40,U,,,28,
2021,44398725,144487173,1,2021-10-07,1,C,290,27,24,M,20,20,R,,,24,
2021,44989884,146707801,1,2021-10-03,1,N,520,59,56,M,20,20,U,,,56,
2021,44989903,146707970,1,2021-10-03,1,N,13B,38,35,F,20,20,U,,,35,
2021,44398801,144487753,1,2021-10-03,1,N,13C,38,35,M,20,40,U,,,35,
2021,44398727,144487195,1,2021-10-03,1,N,290,33,30,F,40,20,R,,,30,
2021,44398757,144487422,1,2021-10-03,1,N,13A,62,59,M,20,20,U,,,59,
2021,45742518,149543026,1,2021-10-03,1,N,520,28,25,M,20,20,R,,,25,
2021,44398749,144487339,1,2021-10-03,1,N,13B,31,28,M,20,40,U,,,28,
2021,44398720,144487079,1,2021-10-04,1,N,13B,25,22,M,10,10,R,,,22,
2021,44398746,144487305,1,2021-10-04,1,N,120,37,34,M,20,20,R,,,34,
2021,44399061,144490102,1,2021-10-04,1,N,220,65,62,M,20,20,U,,,62,
2021,44989878,146707767,1,2021-10-04,1,N,13A,68,65,M,10,40,U,,,65,
2021,46149851,150921217,1,2021-10-04,1,C,23H,42,39,M,20,20,R,,,39,
2021,44398722,144487156,1,2021-10-04,1,N,13B,55,52,F,20,40,R,,,52,
2021,44398764,144487471,1,2021-10-04,1,N,250,63,60,M,20,40,R,,,60,
2021,44398744,144487290,1,2021-10-04,1,N,35A,31,28,M,20,20,R,,,28,
2021,46149855,150921237,1,2021-10-04,1,M,23H,42,39,M,20,20,R,,,39,
2021,44398616,144486005,1,2021-10-19,3,M,11C,30,27,M,20,20,R,,,27,
2021,44398765,144487480,1,2021-10-04,1,N,250,44,41,M,20,20,R,,,41,
2021,45742187,149542282,1,2021-10-04,1,N,290,43,40,M,98,20,N,,,40,
2021,44399143,144490684,1,2021-10-21,1,N,13A,28,25,M,20,20,U,,,25,
2021,44398772,144487548,1,2021-10-06,3,N,13B,61,58,M,20,20,R,,,58,
2021,45742719,149543642,1,2021-10-04,1,N,520,22,19,M,20,20,U,,,19,
